director_name	actor_2_name	genres	actor_1_name	movie_title	actor_3_name	plot_keywords	imdbID	title_year
Terry Gilliam	Michael Palin	Adventure Comedy Fantasy	Eric Idle	Monty Python and the Holy Grail 	Terry Jones	camelot holy grail king arthur knight lancelot	tt0071853	1975
Mel Gibson	Dalia Hernández	Action Adventure Drama Thriller	Rudy Youngblood	Apocalypto 	Jonathan Brewer	jaguar mayan solar eclipse tribe village	tt0472043	2006
Colin Trevorrow	Judy Greer	Action Adventure Sci-Fi Thriller	Bryce Dallas Howard	Jurassic World 	Omar Sy	dinosaur disaster film experiment gone wrong jurassic park velociraptor	tt0369610	2015
Tony Scott	Robert Duvall	Action Drama Sport	Tom Cruise	Days of Thunder 	Randy Quaid	driver hot shot racing stock car driver team	tt0099371	1990
	Clotilde Hesme	Drama Fantasy Horror Mystery	Pierre Perrier	The Returned             	Céline Sallette	france living dead serial killer small town supernatural	tt2521668	
Penny Marshall	Cliff Robertson	Comedy Drama	Ed Begley Jr.	Renaissance Man 	Lillo Brancato	army basic training reference to shakespeare's hamlet teacher u.s. army	tt0110971	1994
Richard Benjamin	Jane Krakowski	Comedy Music	Damon Wayans	Marci X 	Paula Garcés	female protagonist hip hop jewish american princess rapper record label	tt0266747	2003
David Ayer	Martin Donovan	Action Crime Drama Thriller	Mireille Enos	Sabotage 	Maurice Compte	dea drug cartel kicked in the crotch strip club tough girl	tt1742334	2014
Jane Clark	Traci Dinwiddie	Romance Short	Necar Zadegan	The Touch 	Elea Oberon	lesbian paris france period piece poem poetess	tt1128219	2007
Michael Patrick King	Liza Minnelli	Comedy Drama Romance	Chris Noth	Sex and the City 2 	Kristin Davis	abu dhabi box office hit muslim nanny united arab emirates	tt1261945	2010
Neil Marshall	Shauna Macdonald	Adventure Horror Thriller	MyAnna Buring	The Descent 	Craig Conway	cave expedition friendship between women group of friends survival horror	tt0435625	2005
Seth MacFarlane	Morgan Freeman	Comedy	Liam Neeson	Ted 2 	Seth MacFarlane	baby f word fight lawyer marriage	tt2637276	2015
Hayley Cloake	Kayla Ewell	Thriller	Brian Austin Green	Impact Point 	Linden Ashby	championship hit and run police police investigation volleyball	tt1086841	2008
Marc Webb	Andrew Garfield	Action Adventure Fantasy	Emma Stone	The Amazing Spider-Man 	Chris Zylka	lizard outcast spider spider man teenager	tt0948470	2012
