director_name	actor_2_name	genres	actor_1_name	movie_title	actor_3_name	plot_keywords	imdbID	title_year
Michael Polish	William Katt	Drama	Sasha Alexander	Twin Falls Idaho 	Jon Gries	conjoined twins independent film low budget film separation twin	tt0162830	1999
Michael Schultz	Vanity	Action Comedy Drama Music	Mike Starr	The Last Dragon 	Keshia Knight Pulliam	cult film kung fu kung fu classic martial arts title spoken by character	tt0089461	1985
Stephen Frears	Christopher Guest	Comedy Drama Music War	Bob Hoskins	Mrs Henderson Presents 	Sarah Solemani	anti semitism breasts chamberlain friend theatre	tt0413015	2005
Billy Wilder	Jane Wyman	Drama Film-Noir	Ray Milland	The Lost Weekend 	Frank Faylen	addiction alcoholic alcoholism paranoia suicidal thoughts	tt0037884	1945
Jeff Nichols	Sam Shepard	Adventure Drama Sci-Fi Thriller	Kirsten Dunst	Midnight Special 	Paul Sparks	cult father son relationship gas station on the run supernatural ability	tt2649554	2016
Kenny Ortega	Corbin Bleu	Comedy Drama Family Music Musical Romance	Lucas Grabeel	High School Musical 	Olesya Rulin	audition basketball high school singing teenager	tt0475293	2006
Charles Chaplin	Stanley Blystone	Comedy Drama Family	Paulette Goddard	Modern Times 	Fred Malatesta	actor director writer invention machine music score composed by director tramp	tt0027977	1936
Hans Canosa	Thomas Lennon	Comedy Drama Romance	Olivia Wilde	Conversations with Other Women 	Nora Zehetner	female frontal nudity filming a wedding lingerie slip memory wedding	tt0435623	2005
Denzel Washington	Kevin Connolly	Biography Drama	Denzel Washington	Antwone Fisher 	Derek Luke	black american extortion navy psychiatrist sailor	tt0168786	2002
Sharon Greytak	Alex Emanuel	Drama	Sally Kirkland	Archaeology of a Woman 	Elaine Bromka		tt1702455	2012
Brett Piper	Steve Diasparra	Action Sci-Fi Thriller	Michelle Simone Miller	Queen Crab 	A.J. DeLucia		tt2319456	2015
Chris Rock	Romany Malco	Comedy Romance	Rosario Dawson	Top Five 	J.B. Smoove	bare breasts celebrity in medias res reference to planet of the apes sex talk	tt2784678	2014
Terry Gilliam	Heath Ledger	Action Adventure Comedy Fantasy Thriller	Matt Damon	The Brothers Grimm 	Mackenzie Crook	creature curse exorcism girl village	tt0355295	2005
Robert D. Webb	Neville Brand	Drama Romance Western	James Drury	Love Me Tender 	Debra Paget	army civil war robbery soldier train	tt0049452	1956
Kevin Carraway	Max Ryan	Action Thriller	Michael Jai White	Chain of Command 	Jon Osbeck	army michael jai white ohio steve austin	tt4340720	2015
Shane Meadows	Gary Stretch	Crime Drama Thriller	Paddy Considine	Dead Man's Shoes 	George Newton	anger army veteran independent film revenge sex scene	tt0419677	2004
